"Step","env: QLUNARLANDER - ep_info/Power_angular","env: QLUNARLANDER - ep_info/Power_angular__MIN","env: QLUNARLANDER - ep_info/Power_angular__MAX"
"2117","-48","-48","-48"
"2120","-71","-71","-71"
"2125","-75","-75","-75"
"2126","-53","-59","-47"
"2130","-78","-78","-78"
"2135","-72","-72","-72"
"2136","-79","-79","-79"
"2139","-53","-53","-53"
"2140","-84","-84","-84"
"2143","-69","-69","-69"
"2145","-72","-87","-57"
"2146","-50","-50","-50"
"2148","-81","-81","-81"
"2150","-89","-89","-89"
"2151","-56","-56","-56"
"2154","-72","-72","-72"
"2156","-52","-52","-52"
"2159","-80","-80","-80"
"2162","-79","-79","-79"
"2165","-79","-79","-79"
"2166","-53","-53","-53"
"2170","-66","-81","-51"
"2183","-62","-62","-62"
"2186","-77","-77","-77"
"2190","-72","-72","-72"
"2191","-63","-63","-63"
"2195","-52","-52","-52"
"2196","-65.5","-72","-59"
"2197","-50","-50","-50"
"2201","-54","-54","-54"
"2204","-89","-89","-89"
"2205","-53","-53","-53"
"2206","-77","-77","-77"
"2209","-62","-62","-62"
"2212","-50","-50","-50"
"2213","-74","-76","-72"
"2214","-85","-85","-85"
"2216","-53","-53","-53"
"2219","-61","-61","-61"
"2220","-82","-82","-82"
"2221","-64","-64","-64"
"2222","-78","-78","-78"
"2224","-67","-67","-67"
"2225","-65","-77","-53"
"2233","-81","-81","-81"
"2238","-69.5","-89","-50"
"2239","-184","-184","-184"
"2240","-73","-73","-73"
"2246","-62","-62","-62"
"2248","-77","-77","-77"
"2254","-52","-52","-52"
"2263","-52","-52","-52"
"2264","-50.5","-51","-50"
"2266","-67","-67","-67"
"2267","-72","-75","-69"
"2274","-75","-75","-75"
"2275","-51","-51","-51"
"2276","-70","-70","-70"
"2278","-78.5","-86","-71"
"2279","-53","-53","-53"
"2283","-71","-73","-69"
"2286","-59","-59","-59"
"2288","-65","-65","-65"
"2293","-70","-70","-70"
"2295","-69","-69","-69"
"2297","-57","-57","-57"
"2301","-82.5","-83","-82"
"2303","-62","-62","-62"
"2311","-74","-74","-74"
"2312","-84","-84","-84"
"2313","-66","-66","-66"
"2329","-79","-79","-79"
"2330","-76.5","-87","-66"
"2332","-56","-56","-56"
"2334","-49","-49","-49"
"2335","-49","-49","-49"
"2337","-58","-58","-58"
"2339","-61","-61","-61"
"2344","-65","-73","-57"
"2346","-78","-78","-78"
