"Step","env: LUNARLANDER - ep_info/Goal","env: LUNARLANDER - ep_info/Goal__MIN","env: LUNARLANDER - ep_info/Goal__MAX"
"1630","-1","-1","-1"
"1631","-1","-1","-1"
"1633","-1","-1","-1"
"1636","-1","-1","-1"
"1639","-1","-1","-1"
"1640","-1","-1","-1"
"1642","-1","-1","-1"
"1643","-1","-1","-1"
"1645","-1","-1","-1"
"1648","-1","-1","-1"
"1654","-1","-1","-1"
"1655","-1","-1","-1"
"1656","-1","-1","-1"
"1657","-1","-1","-1"
"1660","-1","-1","-1"
"1662","-1","-1","-1"
"1663","-1","-1","-1"
"1664","-1","-1","-1"
"1668","-1","-1","-1"
"1669","-1","-1","-1"
"1670","-1","-1","-1"
"1674","-1","-1","-1"
"1675","-1","-1","-1"
"1676","-1","-1","-1"
"1679","-1","-1","-1"
"1680","-1","-1","-1"
"1686","-1","-1","-1"
"1687","-1","-1","-1"
"1690","-1","-1","-1"
"1691","-1","-1","-1"
"1692","-1","-1","-1"
"1693","-1","-1","-1"
"1695","-1","-1","-1"
"1698","-1","-1","-1"
"1702","-1","-1","-1"
"1703","-1","-1","-1"
"1706","-1","-1","-1"
"1707","-1","-1","-1"
"1708","-1","-1","-1"
"1713","-1","-1","-1"
"1714","-1","-1","-1"
"1716","-1","-1","-1"
"1717","-1","-1","-1"
"1718","-1","-1","-1"
"1719","-1","-1","-1"
"1720","-1","-1","-1"
"1721","-1","-1","-1"
"1722","-1","-1","-1"
"1725","-1","-1","-1"
"1726","-1","-1","-1"
"1728","-1","-1","-1"
"1729","-1","-1","-1"
"1732","-1","-1","-1"
"1733","-1","-1","-1"
"1734","-1","-1","-1"
"1737","-1","-1","-1"
"1738","-1","-1","-1"
"1740","-1","-1","-1"
"1741","-1","-1","-1"
"1743","-1","-1","-1"
"1745","-1","-1","-1"
"1746","-1","-1","-1"
"1748","-1","-1","-1"
"1749","-1","-1","-1"
"1751","-1","-1","-1"
"1752","-1","-1","-1"
"1759","-1","-1","-1"
"1760","-1","-1","-1"
"1763","-1","-1","-1"
"1764","-1","-1","-1"
"1765","-1","-1","-1"
"1770","-1","-1","-1"
"1771","-1","-1","-1"
"1773","-1","-1","-1"
"1774","-1","-1","-1"
