"Step","setup: Dylam - ep_info/Banana","setup: Dylam - ep_info/Banana__MIN","setup: Dylam - ep_info/Banana__MAX","setup: Drq - ep_info/Banana","setup: Drq - ep_info/Banana__MIN","setup: Drq - ep_info/Banana__MAX","setup: Decq - ep_info/Banana","setup: Decq - ep_info/Banana__MIN","setup: Decq - ep_info/Banana__MAX","setup: Baseline - ep_info/Banana","setup: Baseline - ep_info/Banana__MIN","setup: Baseline - ep_info/Banana__MAX"
"346","30","30","30","30","30","30","18","0","30","24","0","30"
"347","30","30","30","27","0","30","21","0","30","24","0","30"
"348","30","30","30","30","30","30","21","0","30","21","0","30"
"349","30","30","30","30","30","30","21","0","30","21","0","30"
"350","30","30","30","27","0","30","24","0","30","24","0","30"
"351","30","30","30","30","30","30","18","0","30","24","0","30"
"352","30","30","30","30","30","30","21","0","30","24","0","30"
"353","30","30","30","30","30","30","21","0","30","24","0","30"
"354","30","30","30","30","30","30","24","0","30","24","0","30"
"355","30","30","30","30","30","30","24","0","30","24","0","30"
"356","30","30","30","27","0","30","27","0","30","24","0","30"
"357","30","30","30","30","30","30","27","0","30","24","0","30"
"358","26.25","0","30","30","30","30","24","0","30","24","0","30"
"359","26.25","0","30","30","30","30","21","0","30","24","0","30"
"360","26.25","0","30","30","30","30","21","0","30","24","0","30"
"361","26.25","0","30","30","30","30","24","0","30","24","0","30"
"362","30","30","30","30","30","30","24","0","30","24","0","30"
"363","30","30","30","27","0","30","27","0","30","24","0","30"
"364","30","30","30","30","30","30","24","0","30","24","0","30"
"365","30","30","30","30","30","30","27","0","30","24","0","30"
"366","30","30","30","30","30","30","27","0","30","24","0","30"
"367","30","30","30","30","30","30","27","0","30","24","0","30"
"368","30","30","30","30","30","30","27","0","30","27","0","30"
"369","30","30","30","30","30","30","21","0","30","24","0","30"
"370","30","30","30","30","30","30","21","0","30","24","0","30"
"371","26.25","0","30","30","30","30","21","0","30","24","0","30"
"372","22.5","0","30","27","0","30","21","0","30","24","0","30"
"373","30","30","30","30","30","30","21","0","30","24","0","30"
"374","30","30","30","30","30","30","21","0","30","24","0","30"
"375","30","30","30","30","30","30","15","0","30","24","0","30"
"376","30","30","30","30","30","30","24","0","30","24","0","30"
"377","26.25","0","30","30","30","30","21","0","30","24","0","30"
"378","26.25","0","30","27","0","30","27","0","30","24","0","30"
"379","26.25","0","30","30","30","30","24","0","30","27","0","30"
"380","30","30","30","30","30","30","24","0","30","27","0","30"
"381","30","30","30","30","30","30","21","0","30","24","0","30"
"382","26.25","0","30","30","30","30","24","0","30","24","0","30"
"383","30","30","30","30","30","30","21","0","30","24","0","30"
"384","30","30","30","27","0","30","24","0","30","24","0","30"
"385","30","30","30","30","30","30","18","0","30","27","0","30"
"386","30","30","30","30","30","30","21","0","30","24","0","30"
"387","30","30","30","27","0","30","18","0","30","24","0","30"
"388","30","30","30","30","30","30","21","0","30","24","0","30"
"389","30","30","30","30","30","30","18","0","30","27","0","30"
"390","30","30","30","30","30","30","21","0","30","24","0","30"
"391","30","30","30","27","0","30","21","0","30","27","0","30"
"392","22.5","0","30","30","30","30","15","0","30","27","0","30"
"393","26.25","0","30","30","30","30","21","0","30","24","0","30"
"394","30","30","30","30","30","30","18","0","30","27","0","30"
"395","30","30","30","27","0","30","27","0","30","27","0","30"
"396","30","30","30","30","30","30","18","0","30","27","0","30"
"397","30","30","30","27","0","30","18","0","30","27","0","30"
"398","30","30","30","30","30","30","24","0","30","27","0","30"
"399","30","30","30","30","30","30","21","0","30","24","0","30"
"400","30","30","30","30","30","30","15","0","30","27","0","30"
"401","30","30","30","30","30","30","24","0","30","27","0","30"
"402","30","30","30","30","30","30","18","0","30","27","0","30"
"403","30","30","30","30","30","30","21","0","30","27","0","30"
"404","26.25","0","30","30","30","30","21","0","30","27","0","30"
"405","30","30","30","27","0","30","18","0","30","27","0","30"
"406","30","30","30","30","30","30","18","0","30","27","0","30"
"407","30","30","30","30","30","30","15","0","30","27","0","30"
"408","26.25","0","30","30","30","30","18","0","30","27","0","30"
"409","26.25","0","30","30","30","30","30","30","30","27","0","30"
"410","30","30","30","30","30","30","21","0","30","27","0","30"
"411","26.25","0","30","27","0","30","21","0","30","24","0","30"
"412","26.25","0","30","30","30","30","24","0","30","27","0","30"
"413","30","30","30","30","30","30","18","0","30","27","0","30"
"414","22.5","0","30","30","30","30","21","0","30","27","0","30"
"415","26.25","0","30","30","30","30","21","0","30","27","0","30"
"416","22.5","0","30","30","30","30","15","0","30","27","0","30"
"417","26.25","0","30","30","30","30","21","0","30","27","0","30"
"418","26.25","0","30","30","30","30","21","0","30","27","0","30"
"419","30","30","30","27","0","30","24","0","30","27","0","30"
