"Step","setup: Dylam - ep_info/Chicken","setup: Dylam - ep_info/Chicken__MIN","setup: Dylam - ep_info/Chicken__MAX","setup: Drq - ep_info/Chicken","setup: Drq - ep_info/Chicken__MIN","setup: Drq - ep_info/Chicken__MAX","setup: Decq - ep_info/Chicken","setup: Decq - ep_info/Chicken__MIN","setup: Decq - ep_info/Chicken__MAX","setup: Baseline - ep_info/Chicken","setup: Baseline - ep_info/Chicken__MIN","setup: Baseline - ep_info/Chicken__MAX"
"391","8.75","0","70","0","0","0","28","0","70","0","0","0"
"392","8.75","0","70","0","0","0","35","0","70","0","0","0"
"393","8.75","0","70","0","0","0","28","0","70","7","0","70"
"394","8.75","0","70","0","0","0","21","0","70","0","0","0"
"395","8.75","0","70","7","0","70","35","0","70","0","0","0"
"396","8.75","0","70","0","0","0","28","0","70","0","0","0"
"397","8.75","0","70","0","0","0","21","0","70","0","0","0"
"398","8.75","0","70","0","0","0","21","0","70","0","0","0"
"399","8.75","0","70","0","0","0","14","0","70","0","0","0"
"400","8.75","0","70","0","0","0","14","0","70","0","0","0"
"401","17.5","0","70","0","0","0","28","0","70","7","0","70"
"402","8.75","0","70","0","0","0","28","0","70","0","0","0"
"403","8.75","0","70","0","0","0","21","0","70","0","0","0"
"404","0","0","0","0","0","0","21","0","70","0","0","0"
"405","8.75","0","70","7","0","70","14","0","70","0","0","0"
"406","8.75","0","70","0","0","0","21","0","70","0","0","0"
"407","8.75","0","70","0","0","0","21","0","70","0","0","0"
"408","0","0","0","0","0","0","21","0","70","0","0","0"
"409","8.75","0","70","0","0","0","21","0","70","0","0","0"
"410","8.75","0","70","0","0","0","21","0","70","0","0","0"
"411","0","0","0","0","0","0","14","0","70","0","0","0"
"412","0","0","0","0","0","0","14","0","70","0","0","0"
"413","8.75","0","70","0","0","0","0","0","0","0","0","0"
"414","0","0","0","0","0","0","14","0","70","0","0","0"
"415","0","0","0","0","0","0","14","0","70","0","0","0"
"416","0","0","0","0","0","0","21","0","70","0","0","0"
